,path,audio,transcription,english_transcription,intent_class,lang_id,predicted_transcription,inference_time
0,/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-AU~PAY_BILL/response_4.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-AU~PAY_BILL/response_4.wav', 'array': array([ 0.        ,  0.00024414, -0.00024414, ..., -0.00024414,
        0.00024414,  0.0012207 ]), 'sampling_rate': 8000}",I would like to pay my electricity bill using my card can you please assist,I would like to pay my electricity bill using my card can you please assist,13,2, I would like to pay my electricity bill using my card. Can you please assist?,1.568277359008789
1,/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-AU~PAY_BILL/response_17.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-AU~PAY_BILL/response_17.wav', 'array': array([0.00024414, 0.        , 0.        , ..., 0.12487793, 0.10339355,
       0.03210449]), 'sampling_rate': 8000}",hello I like to pay for Bill I would actually like to make a payment but yeah could you help me,hello I like to pay for Bill I would actually like to make a payment but yeah could you help me,13,2," Hello, I'd like to pay for a bill. I'd actually like to make a payment but yeah, could you help me out with that?",1.5092198848724365
2,/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-AU~PAY_BILL/response_16.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-AU~PAY_BILL/response_16.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 8000}",pay a bill,pay a bill,13,2, You pay a bill.,0.7708451747894287
3,/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-AU~PAY_BILL/response_7.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-AU~PAY_BILL/response_7.wav', 'array': array([ 0.00024414,  0.        ,  0.        , ...,  0.        ,
        0.        , -0.00024414]), 'sampling_rate': 8000}",my credit card payment is due,my credit card payment is due,13,2, My credit card payment is due.,0.7285964488983154
4,/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-AU~PAY_BILL/response_14.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-AU~PAY_BILL/response_14.wav', 'array': array([0.        , 0.        , 0.        , ..., 0.        , 0.        ,
       0.00024414]), 'sampling_rate': 8000}",hi I would like to make a new payment for a bill,hi I would like to make a new payment for a bill,13,2," Hi, I would like to make a new payment for a bill.",0.8059518337249756
5,/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-AU~PAY_BILL/response_28.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-AU~PAY_BILL/response_28.wav', 'array': array([0.        , 0.        , 0.00024414, ..., 0.        , 0.        ,
       0.        ]), 'sampling_rate': 8000}",hello my credit card bills due,hello my credit card bills due,13,2," Hello, my credit card bill is due.",0.711540699005127
6,/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-AU~PAY_BILL/response_29.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-AU~PAY_BILL/response_29.wav', 'array': array([0.00024414, 0.        , 0.00024414, ..., 0.        , 0.        ,
       0.00024414]), 'sampling_rate': 8000}",hello I've just recently opened up an account with your bank and I wanted to find out how I can go about paying bills using my savings account,hello I've just recently opened up an account with your bank and I wanted to find out how I can go about paying bills using my savings account,13,2," Hello, I've just recently opened up an account with your bank and I wanted to find out how I can go about paying bills using my savings account.",1.1311492919921875
7,/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-AU~PAY_BILL/response_15.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-AU~PAY_BILL/response_15.wav', 'array': array([ 0.        ,  0.        ,  0.        , ...,  0.        ,
        0.        , -0.00024414]), 'sampling_rate': 8000}",hey there I'm just calling about making a payment for Bill that I've got coming up I'm just wondering if you could lend me a hand with that please,hey there I'm just calling about making a payment for Bill that I've got coming up I'm just wondering if you could lend me a hand with that please,13,2," Hey there, I'm just calling about making a payment for a bill that I've got coming up. I'm just wondering if you could lend me a hand with that please.",1.244225263595581
8,/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-AU~PAY_BILL/response_6.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-AU~PAY_BILL/response_6.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 8000}",ID like to pay bills due and I don't send it out to do it online,ID like to pay bills due and I don't send it out to do it online,13,2," I'd like to pay a bill, it's due and I don't seem to be able to do it online.",1.0323071479797363
9,/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-AU~PAY_BILL/response_2.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-AU~PAY_BILL/response_2.wav', 'array': array([0., 0., 0., ..., 0., 0., 0.]), 'sampling_rate': 8000}",ID like to pay the bill,ID like to pay the bill,13,2, I'd like to pay a bill.,0.6916725635528564
