path,audio,transcription,english_transcription,intent_class,lang_id,intent_class_interpret,file_format,sampling_rate_ori,duration,wav2vec_predicted,wav2vec_inference_time
/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602ba55abb1e6d0fbce92065.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602ba55abb1e6d0fbce92065.wav', 'array': array([ 0.        ,  0.00024414, -0.00024414, ..., -0.00024414,
        0.        ,  0.        ]), 'sampling_rate': 8000}",I would like to set up a joint account with my partner,I would like to set up a joint account with my partner,11,4,joint_account,wav,8000,10.837414965986394,I WOULD LIKE TO SET UP A JOINT ACCOUNT WITH MY PARTNER HOW DO I PROCEED WITH DOING THAT,I WOULD LIKE TO SET UP A JOINT ACCOUNT WITH MY PARTNER HOW DO I PROCEED WITH DOING THAT
/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602baf24bb1e6d0fbce922a7.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602baf24bb1e6d0fbce922a7.wav', 'array': array([0.        , 0.00024414, 0.        , ..., 0.01306152, 0.01208496,
       0.01135254]), 'sampling_rate': 8000}",Henry County set up a joint account with my wife and where are they at,Henry County set up a joint account with my wife and where are they at,11,4,joint_account,wav,8000,6.656009070294784,FONDERING HOW I'D SET UP A JOIN TO HELL T WITH MY WIFE AND WHERE THE AP MIGHT BE,FONDERING HOW I'D SET UP A JOIN TO HELL T WITH MY WIFE AND WHERE THE AP MIGHT BE
/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602b9f97963e11ccd901cc32.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602b9f97963e11ccd901cc32.wav', 'array': array([0.        , 0.        , 0.        , ..., 0.00073242, 0.00048828,
       0.00097656]), 'sampling_rate': 8000}",hi I'd like to set up a joint account with my partner I'm not seeing the option to do it on the app so I called in to get some help can I do it over the phone with you and give you the information,hi I'd like to set up a joint account with my partner I'm not seeing the option to do it on the app so I called in to get some help can I do it over the phone with you and give you the information,11,4,joint_account,wav,8000,24.2346485260771,I I'D LIKE TOY SET UP A JOINT ACCOUNT WITH MY PARTNER I'M NOT SEEING THE OPTION TO DO IT ON THE APSO I CALLED IN TO GET SOME HELP CAN I JUST DO IT OVER THE PHONE WITH YOU AND GIVE YOU THE INFORMATION OR SHOULD I DO IT IN THE AP AN I'M MISSING SOMETHING UQUETTE HAD PREFERRED TO JUST DO IT OVER THE PHONE OF POSSIBLE THINGS,I I'D LIKE TOY SET UP A JOINT ACCOUNT WITH MY PARTNER I'M NOT SEEING THE OPTION TO DO IT ON THE APSO I CALLED IN TO GET SOME HELP CAN I JUST DO IT OVER THE PHONE WITH YOU AND GIVE YOU THE INFORMATION OR SHOULD I DO IT IN THE AP AN I'M MISSING SOMETHING UQUETTE HAD PREFERRED TO JUST DO IT OVER THE PHONE OF POSSIBLE THINGS
/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602bacab5f67b421554f6488.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602bacab5f67b421554f6488.wav', 'array': array([ 0.00024414,  0.        ,  0.        , ...,  0.        ,
        0.        , -0.00024414]), 'sampling_rate': 8000}",how do I start a joint account,how do I start a joint account,11,4,joint_account,wav,8000,3.2426303854875282,HOW DO I FURN A JOINA COUT,HOW DO I FURN A JOINA COUT
/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602b9d4cbb1e6d0fbce91fa4.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602b9d4cbb1e6d0fbce91fa4.wav', 'array': array([-0.00024414,  0.        , -0.00024414, ...,  0.        ,
        0.00024414,  0.00024414]), 'sampling_rate': 8000}",can you help me set up a joint bank account,can you help me set up a joint bank account,11,4,joint_account,wav,8000,3.84,CAN NOW YOU HELP ME SET UP AN JOINT LEAKACCOUNT,CAN NOW YOU HELP ME SET UP AN JOINT LEAKACCOUNT
/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602bafa0bb1e6d0fbce922c7.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602bafa0bb1e6d0fbce922c7.wav', 'array': array([ 0.        ,  0.00024414,  0.00024414, ..., -0.00170898,
       -0.00170898, -0.00170898]), 'sampling_rate': 8000}",how to set up a joint account,how to set up a joint account,11,4,joint_account,wav,8000,4.551156462585034,HOW TO FET UP A JOINA COWT,HOW TO FET UP A JOINA COWT
/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602baf47bb1e6d0fbce922b6.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602baf47bb1e6d0fbce922b6.wav', 'array': array([-0.00024414,  0.        ,  0.        , ..., -0.0012207 ,
       -0.00024414,  0.        ]), 'sampling_rate': 8000}",is like you open a joint account tell me about processes,is like you open a joint account tell me about processes,11,4,joint_account,wav,8000,5.888027210884354,ID LIKE YOU OPEN A JOINT CAMP ON TELL ME OF WHAT PRUSSUSES I THINK,ID LIKE YOU OPEN A JOINT CAMP ON TELL ME OF WHAT PRUSSUSES I THINK
/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602ba612bb1e6d0fbce92088.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602ba612bb1e6d0fbce92088.wav', 'array': array([ 0.        ,  0.        ,  0.00024414, ..., -0.00073242,
       -0.00073242, -0.00073242]), 'sampling_rate': 8000}",can I have an account with my sister I want to set up a joint account,can I have an account with my sister I want to set up a joint account,11,4,joint_account,wav,8000,8.533378684807257,ON CAN I HAVE AN ACCOUNT WITH ON MY SISTERS I WANT TO FELD UP A JOIN ACCOUNT,ON CAN I HAVE AN ACCOUNT WITH ON MY SISTERS I WANT TO FELD UP A JOIN ACCOUNT
/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602baa0fbb1e6d0fbce9214f.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602baa0fbb1e6d0fbce9214f.wav', 'array': array([ 0.        , -0.00024414,  0.00024414, ..., -0.01135254,
       -0.0098877 , -0.01208496]), 'sampling_rate': 8000}",I need to find out if I probably set up a joint account,I need to find out if I probably set up a joint account,11,4,joint_account,wav,8000,7.337505668934241,A I NEED TO FIND OUT ABOUT HOW TO SET UP A JOINT A GENT PLESE,A I NEED TO FIND OUT ABOUT HOW TO SET UP A JOINT A GENT PLESE
/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602bac37bb1e6d0fbce921c0.wav,"{'path': '/root/.cache/huggingface/datasets/downloads/extracted/28aa727f91fee90575c34956bab09d1716cfaf460c6afcba86a10f04a7d58b83/en-US~JOINT_ACCOUNT/602bac37bb1e6d0fbce921c0.wav', 'array': array([-0.00024414,  0.        ,  0.        , ...,  0.00024414,
        0.        , -0.00024414]), 'sampling_rate': 8000}",I am calling because I would like to set up a joint with my partner as possible and is there a bunny,I am calling because I would like to set up a joint with my partner as possible and is there a bunny,11,4,joint_account,wav,8000,13.653378684807256,I AM CALLING BECAUSE I WOULD LIKE TO SET UP AN ACCOUNT THAT IS JOINT WITH MY PARTNER IS THIS CLASSIBLE AND ADTHERE A JOINT ACCOUNT THAT I CAN SEE ON THE HACK,I AM CALLING BECAUSE I WOULD LIKE TO SET UP AN ACCOUNT THAT IS JOINT WITH MY PARTNER IS THIS CLASSIBLE AND ADTHERE A JOINT ACCOUNT THAT I CAN SEE ON THE HACK
